,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm
20163,10.371165234113988,True,1936.0,0.0004144156171227518,0.0005367154631351886,1.3405234468028364
20176,2.93294293446254,True,1020.0,0.0001171958337114417,0.0001780369751753122,1.519781316191692
20178,6.870363356205315,True,2623.0,0.0002745290240631869,0.000332184578880021,1.2637984231644286
20179,3.827360526730144,True,667.0,0.00015293536828618812,0.00030364160545948344,1.6610343639907403
20188,19.990364262457728,True,2734.0,0.000798783835309587,0.0009859735120758956,1.2543283883470342
20195,4.841785618281134,True,584.0,0.00019347021570691015,0.0003240955416056244,1.7131356407013922
20197,7.896947921840847,True,1253.0,0.00031554974513868967,0.00044093293496454204,1.4564668744834877
20206,12.458606424917349,True,887.0,0.0004978265174185786,0.000754338549726247,1.560925485917221
20209,8.273471531339798,True,2310.0,0.00033059504240948607,0.0004112919190441483,1.2954958106653842
20210,8.542014172393731,True,2382.0,0.00034132558828393395,0.00042223453583677644,1.2871006005762031
20232,3.4308392688491693,True,2126.0,0.00013709099611800406,0.00019612404873914607,1.315817708386622
20237,2.397590730830199,True,1931.0,9.580399308040435e-05,0.0001173530234383997,1.3415523819357236
20241,9.187817848436364,True,2355.0,0.00036713089780373865,0.00045611844779960505,1.2901063828111863
20245,101.32320324953794,True,2069.0,0.0040487174638191474,0.0054189796427184175,1.3238485226834937
20247,5.8063504222375,True,1511.0,0.00023201272365689683,0.000309941701686182,1.4006002696666426
20251,14.283302088743383,True,1878.0,0.0005707385154936222,0.0007496550478390503,1.3477652676248202
20254,11.797101943566195,True,1872.0,0.00047139382816136,0.0006161400448155069,1.3483433415788537
20257,5.747626550317212,True,745.0,0.00022966620915516712,0.00036354254557503123,1.613165579247023
20275,3.256378614160134,True,2249.0,0.00013011981995365355,0.00018170913790598864,1.3007453233776285
20282,2.897877883184461,True,863.0,0.00011579468885097342,0.0001680432497647419,1.5674662562410984
20296,6.801540668489636,True,2486.0,0.0002717789766039174,0.00033219213749230956,1.2768060081620138
20323,32.153411377380586,True,1822.0,0.0012848002628218884,0.0017298009168378752,1.3554469689447977
20350,3.4860860464699712,True,2270.0,0.00013929857134460048,0.00016942260270700555,1.2990512492934254
20375,8.96836239843521,True,1769.0,0.00035836179966575605,0.0004700614599904509,1.3629668169004838
20410,35.42653225074077,True,1628.0,0.0014155890773891457,0.0019447731044146758,1.382123750011792
20412,10.557197441701502,True,1869.0,0.0004218491745265524,0.0005498573580540587,1.3485152596581151
20415,5.221253763482464,True,1753.0,0.0002086331720403766,0.00027066865035393705,1.3643247554694244
20417,13.511755172839056,True,1650.0,0.0005399087018636242,0.0007244053549167137,1.379071521709608
20421,8.051737426945243,True,2193.0,0.00032173489278930885,0.0004034608301506699,1.3065907734025533
20448,8.607123814827366,True,1996.0,0.0003439272682341312,0.0004406485639173633,1.332794809039883
20456,3.990106034865506,True,2400.0,0.00015943842543217078,0.00019328672250908786,1.2854328428700392
20460,4.766605135111205,True,1269.0,0.00019046612063898367,0.00026260654510727824,1.4532165166777777
20464,8.995472805923628,True,1592.0,0.00035944508934402725,0.0004803581531246367,1.3885115241987573
