001  00398 |Loss: 0.858 | Accuracy: 88.945% 
001  00399 |Loss: 0.858 | Accuracy: 88.957% 
001  00400 |Loss: 0.858 | Accuracy: 88.953% 
001  00401 |Loss: 0.857 | Accuracy: 88.973% 
001  00402 |Loss: 0.857 | Accuracy: 88.993% 
001  00403 |Loss: 0.857 | Accuracy: 88.997% 
001  00404 |Loss: 0.856 | Accuracy: 89.024% 
001  00405 |Loss: 0.856 | Accuracy: 89.028% 
001  00406 |Loss: 0.856 | Accuracy: 89.016% 
001  00407 |Loss: 0.855 | Accuracy: 89.036% 
001  00408 |Loss: 0.855 | Accuracy: 89.047% 
001  00409 |Loss: 0.855 | Accuracy: 89.051% 
001  00410 |Loss: 0.855 | Accuracy: 89.040% 
001  00411 |Loss: 0.855 | Accuracy: 89.021% 
001  00412 |Loss: 0.855 | Accuracy: 89.009% 
001  00413 |Loss: 0.855 | Accuracy: 89.013% 
001  00414 |Loss: 0.855 | Accuracy: 89.017% 
001  00415 |Loss: 0.855 | Accuracy: 89.014% 
001  00416 |Loss: 0.854 | Accuracy: 89.032% 
001  00417 |Loss: 0.854 | Accuracy: 89.036% 
001  00418 |Loss: 0.854 | Accuracy: 89.040% 
001  00419 |Loss: 0.854 | Accuracy: 89.059% 
001  00420 |Loss: 0.853 | Accuracy: 89.077% 
001  00421 |Loss: 0.853 | Accuracy: 89.096% 
001  00422 |Loss: 0.852 | Accuracy: 89.107% 
001  00423 |Loss: 0.852 | Accuracy: 89.125% 
001  00424 |Loss: 0.851 | Accuracy: 89.151% 
001  00425 |Loss: 0.852 | Accuracy: 89.140% 
001  00426 |Loss: 0.851 | Accuracy: 89.158% 
001  00427 |Loss: 0.851 | Accuracy: 89.169% 
001  00428 |Loss: 0.851 | Accuracy: 89.179% 
001  00429 |Loss: 0.850 | Accuracy: 89.183% 
001  00430 |Loss: 0.850 | Accuracy: 89.193% 
001  00431 |Loss: 0.850 | Accuracy: 89.197% 
001  00432 |Loss: 0.850 | Accuracy: 89.200% 
001  00433 |Loss: 0.849 | Accuracy: 89.203% 
001  00434 |Loss: 0.849 | Accuracy: 89.214% 
001  00435 |Loss: 0.849 | Accuracy: 89.224% 
001  00436 |Loss: 0.849 | Accuracy: 89.213% 
001  00437 |Loss: 0.848 | Accuracy: 89.231% 
001  00438 |Loss: 0.848 | Accuracy: 89.241% 
001  00439 |Loss: 0.848 | Accuracy: 89.251% 
001  00440 |Loss: 0.847 | Accuracy: 89.268% 
001  00441 |Loss: 0.847 | Accuracy: 89.279% 
001  00442 |Loss: 0.847 | Accuracy: 89.268% 
001  00443 |Loss: 0.847 | Accuracy: 89.285% 
001  00444 |Loss: 0.847 | Accuracy: 89.281% 
001  00445 |Loss: 0.846 | Accuracy: 89.291% 
001  00446 |Loss: 0.846 | Accuracy: 89.294% 
001  00447 |Loss: 0.846 | Accuracy: 89.311% 
001  00448 |Loss: 0.846 | Accuracy: 89.328% 
001  00449 |Loss: 0.845 | Accuracy: 89.330% 
001  00450 |Loss: 0.845 | Accuracy: 89.333% 
001  00451 |Loss: 0.845 | Accuracy: 89.343% 
001  00452 |Loss: 0.845 | Accuracy: 89.346% 
001  00453 |Loss: 0.845 | Accuracy: 89.349% 
001  00454 |Loss: 0.845 | Accuracy: 89.352% 
001  00455 |Loss: 0.845 | Accuracy: 89.341% 
001  00456 |Loss: 0.845 | Accuracy: 89.337% 
001  00457 |Loss: 0.845 | Accuracy: 89.339% 
001  00458 |Loss: 0.844 | Accuracy: 89.342% 
001  00459 |Loss: 0.844 | Accuracy: 89.345% 
001  00460 |Loss: 0.844 | Accuracy: 89.355% 
001  00461 |Loss: 0.843 | Accuracy: 89.371% 
001  00462 |Loss: 0.843 | Accuracy: 89.367% 
001  00463 |Loss: 0.843 | Accuracy: 89.383% 
001  00464 |Loss: 0.842 | Accuracy: 89.393% 
001  00465 |Loss: 0.842 | Accuracy: 89.402% 
001  00466 |Loss: 0.842 | Accuracy: 89.411% 
001  00467 |Loss: 0.842 | Accuracy: 89.407% 
001  00468 |Loss: 0.842 | Accuracy: 89.403% 
001  00469 |Loss: 0.842 | Accuracy: 89.419% 
001  00470 |Loss: 0.842 | Accuracy: 89.402% 
001  00471 |Loss: 0.842 | Accuracy: 89.391% 
001  00472 |Loss: 0.842 | Accuracy: 89.380% 
001  00473 |Loss: 0.842 | Accuracy: 89.396% 
001  00474 |Loss: 0.841 | Accuracy: 89.412% 
001  00475 |Loss: 0.841 | Accuracy: 89.401% 
001  00476 |Loss: 0.841 | Accuracy: 89.417% 
001  00477 |Loss: 0.841 | Accuracy: 89.413% 
001  00478 |Loss: 0.841 | Accuracy: 89.409% 
001  00479 |Loss: 0.840 | Accuracy: 89.425% 
001  00480 |Loss: 0.840 | Accuracy: 89.447% 
001  00481 |Loss: 0.840 | Accuracy: 89.462% 
001  00482 |Loss: 0.840 | Accuracy: 89.458% 
